V:924 = Reset:0 + v_shifted:0 + acc: 924| threshold: 91 S:1 | nindex = 490 | v_prev = 0 | decay = 31129 
V:786 = Reset:91 + v_shifted:877 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 924 | decay = 31129 
V:737 = Reset:91 + v_shifted:746 + acc: 82| threshold: 91 S:1 | nindex = 490 | v_prev = 786 | decay = 31129 
V:1276 = Reset:91 + v_shifted:700 + acc: 667| threshold: 91 S:1 | nindex = 490 | v_prev = 737 | decay = 31129 
V:1721 = Reset:91 + v_shifted:1212 + acc: 600| threshold: 91 S:1 | nindex = 490 | v_prev = 1276 | decay = 31129 
V:2636 = Reset:91 + v_shifted:1634 + acc: 1093| threshold: 91 S:1 | nindex = 490 | v_prev = 1721 | decay = 31129 
V:2863 = Reset:91 + v_shifted:2504 + acc: 450| threshold: 91 S:1 | nindex = 490 | v_prev = 2636 | decay = 31129 
V:3264 = Reset:91 + v_shifted:2719 + acc: 636| threshold: 91 S:1 | nindex = 490 | v_prev = 2863 | decay = 31129 
V:3733 = Reset:91 + v_shifted:3100 + acc: 724| threshold: 91 S:1 | nindex = 490 | v_prev = 3264 | decay = 31129 
V:8117 = Reset:91 + v_shifted:3546 + acc: 4662| threshold: 91 S:1 | nindex = 490 | v_prev = 3733 | decay = 31129 
V:10719 = Reset:91 + v_shifted:7711 + acc: 3099| threshold: 91 S:1 | nindex = 490 | v_prev = 8117 | decay = 31129 
V:15987 = Reset:91 + v_shifted:10182 + acc: 5896| threshold: 91 S:1 | nindex = 490 | v_prev = 10719 | decay = 31129 
V:17935 = Reset:91 + v_shifted:15187 + acc: 2839| threshold: 91 S:1 | nindex = 490 | v_prev = 15987 | decay = 31129 
V:18222 = Reset:91 + v_shifted:17037 + acc: 1276| threshold: 91 S:1 | nindex = 490 | v_prev = 17935 | decay = 31129 
V:18873 = Reset:91 + v_shifted:17310 + acc: 1654| threshold: 91 S:1 | nindex = 490 | v_prev = 18222 | decay = 31129 
V:19102 = Reset:91 + v_shifted:17929 + acc: 1264| threshold: 91 S:1 | nindex = 490 | v_prev = 18873 | decay = 31129 
V:19671 = Reset:91 + v_shifted:18146 + acc: 1616| threshold: 91 S:1 | nindex = 490 | v_prev = 19102 | decay = 31129 
V:20951 = Reset:91 + v_shifted:18687 + acc: 2355| threshold: 91 S:1 | nindex = 490 | v_prev = 19671 | decay = 31129 
V:21939 = Reset:91 + v_shifted:19903 + acc: 2127| threshold: 91 S:1 | nindex = 490 | v_prev = 20951 | decay = 31129 
V:22653 = Reset:91 + v_shifted:20841 + acc: 1903| threshold: 91 S:1 | nindex = 490 | v_prev = 21939 | decay = 31129 
V:23794 = Reset:91 + v_shifted:21519 + acc: 2366| threshold: 91 S:1 | nindex = 490 | v_prev = 22653 | decay = 31129 
V:29692 = Reset:91 + v_shifted:22603 + acc: 7180| threshold: 91 S:1 | nindex = 490 | v_prev = 23794 | decay = 31129 
V:31427 = Reset:91 + v_shifted:28206 + acc: 3312| threshold: 91 S:1 | nindex = 490 | v_prev = 29692 | decay = 31129 
V:32614 = Reset:91 + v_shifted:29855 + acc: 2850| threshold: 91 S:1 | nindex = 490 | v_prev = 31427 | decay = 31129 
V:30891 = Reset:91 + v_shifted:30982 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 32614 | decay = 31129 
V:29254 = Reset:91 + v_shifted:29345 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 30891 | decay = 31129 
V:27967 = Reset:91 + v_shifted:27790 + acc: 268| threshold: 91 S:1 | nindex = 490 | v_prev = 29254 | decay = 31129 
